inputs,targets
" It is, therefore, an object of the present invention to provide a semiconductor device capable of reducing a dead space formed around a semiconductor substrate such as a silicon substrate. 
 According to an aspect of the present invention, there is provided a semiconductor device comprising: 



 a base member; 
 a semiconductor constructing body formed on the base member, and having a semiconductor substrate and a plurality of external connecting electrodes formed on the semiconductor substrate; 
 a wiring board formed around the semiconductor constructing body, and having first interconnections on at least a surface thereof; and 
 second interconnections formed on the semiconductor constructing body and wiring board, and electrically connected to the external connecting electrodes of the semiconductor constructing body. 




 In the semiconductor device of this aspect, the wiring board is formed around the semiconductor substrate and the semiconductor constructing body having the external connecting electrodes. Accordingly, a dead space formed around the semiconductor substrate can be reduced. 
 Additional objects and advantages of the invention will be set forth in the description which follows, and in part will be obvious from the description, or may be learned by practice of the invention. The objects and advantages of the invention may be realized and obtained by means of the instrumentalities and combinations particularly pointed out hereinafter.
","1. A semiconductor device comprising: 
a base member; 
a semiconductor constructing body formed on the base member, and having a semiconductor substrate and a plurality of external connecting electrodes formed on the semiconductor substrate; 
a wiring board formed around the semiconductor constructing body, and having first interconnections on at least a surface thereof; and 
second interconnections formed on the semiconductor constructing body and wiring board, and electrically connected to the external connecting electrodes of the semiconductor constructing body."
" To overcome the limitations in the prior art described above, and to overcome other limitations that will become apparent upon reading and understanding the present specification, the present invention discloses a method, apparatus and program storage device for performing a remote power reset at a remote server through a network connection. 
 The present invention solves the above-described problems by pinning a power reset procedure to memory at a remote server. The remote server listens for a call specifying the power reset procedure pinned to memory. The call is received at the predetermined port. The power reset procedure pinned in the memory of the remote server is initiated in response to the call. The power reset procedure has very small memory requirements and is pinned to memory to ensure it continues to run and thus is accessible by the user. When a program/process is pinned to memory, the program/process has its own memory allocated for it and no other program/process can use it. The combination of small size and the ability to be pinned into memory ensures that the power reset procedure will be one of the last programs/processes to halt. 
 A method, apparatus or program storage device in accordance with an embodiment of the present invention pins a power reset procedure to memory at a remote server and continuously runs the power reset procedure to listen for a call to initiate a power reset in response thereto. 
 These and various other advantages and features of novelty which characterize the invention are pointed out with particularity in the claims annexed hereto and form a part hereof. However, for a better understanding of the invention, its advantages, and the objects obtained by its use, reference should be made to the drawings which form a further part hereof, and to accompanying descriptive matter, in which there are illustrated and described specific examples of an apparatus in accordance with the invention. 
","1. A method for performing a remote power reset at a remote server through a network connection, comprising: 
pinning a power reset procedure to memory at a remote server; and 
continuously running the power reset procedure to listen for a call to initiate a power reset in response thereto."
" The present invention relates to the detection of malignant melanoma. In particular, the present invention relates to systems and methods for the early detection of cancerous lesions. 
 Accordingly, in some embodiments, the present invention provides a method, comprising the steps of: providing at least one initial body image (e.g., photograph or digital image) from a subject; and at least one follow up body image from the subject, wherein the follow up body image is taken at a later time than the initial body image; and comparing the initial body image and the follow up body image to identify moles or lesions that are both nonuniform and changed. In some embodiments, the body images are in a 2 or 3 dimensional format (e.g., obtained through cameras or scanning devices). In some embodiments, the method further comprises the step of providing a diagnosis of the presence or absence of melanoma in the subject. In other embodiments, the method further comprises the step of providing a level of the subject's risk of developing melanoma. In some embodiments, moles or lesions that are both nonuniform and changed are indicative of potential melanoma. In other embodiments, moles or lesions that are both nonuniform and changed are indicative of dysplastic nevus with severe cytologic atypia. The present invention is not limited to a particular interval of follow up images. However, in certain preferred embodiments, the at least one follow up body image is taken once every 12, and preferably once every 6 months. In some embodiments, the method further comprises providing at least one initial dermoscopy image (or image derived from a technique that provides similar information—e.g., direct scanning followed by computer assessment to simulate information obtained from dermoscopy) and at least one follow up dermoscopy image. In some embodiments, the at least one initial dermoscopy image and the at least one follow up dermoscopy image are compared to identify moles or lesions that are both nonuniform and changed. In some embodiments, the initial and follow up body images are compared by at least one dermatologist. In other embodiments, the initial and follow up body image are compared by a computer processor and computer software. In some embodiments, the computer software and the computer processor provide a diagnosis of the presence or absence of melanoma to the subject. In certain embodiments, the method further comprises the step of excising the moles or lesions found to be both nonuniform and changed. In some embodiments, a set of control body images is provided, wherein the control body images illustrate changed and nonchanged as well as uniform and nonuniform moles or lesions. 
 The present invention further provides a system an apparatus configured for the comparison of one or more initial body images with one or more follow up body images to identify moles or lesions that are both nonuniform and changed. In some embodiments, the apparatus comprises a computer processor and computer software. In some embodiments, the apparatus is further configured to provide a diagnosis of melanoma for the moles or lesions identified as both nonuniform and changed. In other embodiments, the apparatus is further configured to provide a level of risk of melanoma being present in the moles or lesions. In some embodiments, the at least one follow up body image is taken once every 12, and preferably once every 6 months. In some embodiments, at least one initial dermoscopy image and at least one follow up dermoscopy image are provided. In some embodiments, the apparatus is further configured for comparing the at least one initial dermoscopy image and the at least one follow up dermoscopy image to identify moles or lesions that are both nonuniform and changed. In some preferred embodiments, the system further comprises a set of control body images, wherein the control body images illustrate changed and nonchanged as well as uniform and nonuniform moles or lesions. 
","1. A method, comprising: 
a) providing 
i) at least one initial body image from a subject; and 
ii) at least one follow up body image from said subject, wherein said follow up body image is taken at a later time than said initial body image; and 

b) comparing said initial body image and said follow up body image to identify moles or lesions that are both nonuniform and changed."
" Compositions and methods for the isolation and manipulation of misfolded, or partially misfolded, proteins present in blood and other biological materials are provided. In one aspect of the invention, the compositions, hereinafter termed “proteons,” are comprised of misfolded proteins. Also provided are compositions and methods for the isolation and manipulation of proteon nucleation centers (PNCs), upon which the proteons of the present invention form. The PNCs are comprised of metallic nanoclusters. 
 Proteons can be visualized by microscopy of biological materials, for example fluids such as blood samples of mammals and homogenates of vegetable matter. As proteons are comprised of misfolded proteins, detection of proteons and identification of the proteins can be used to diagnose and measure progression of disease states. For example, proteons isolated and purified from blood and blood plasma lack detectable nucleic acids, but contain two major polypeptide populations with high homology to the alpha chain of hemoglobin. 
 Accordingly, methods for the amplification and detection of misfolded protein in a biological sample are provided. Additionally, methods for the clearance of misfolded protein from a sample of biological material are provided. The method can be manipulated by subjecting the sample to heat or pressure, or by carrying out various numbers of seeding steps. Methods for amplification include heat and pressure treatment of a sample. Likewise, subjecting a biological sample to or treating it with metal clusters increases the concentration of proteons. 
 While the present invention is not bound to any particular mode of action, it is believed that proteons are formed by a mechanism involving the reversible polymerization and aggregation of proteins, particularly misfolded proteins, on a nucleation center. For convenience, the nucleation centers are referred to as “proteon nucleation centers” or “PNCs.”
 The PNCs of the invention are unexpectedly pro-apoptotic when added to cultured animal cells. Accordingly, pro-apoptotic compositions and methods for their production are also provided herein.
","1. A method for the cyclic amplification of proteons in a biological sample comprising: 
a) centrifuging said biological sample until a supernatant is formed; 
b) dividing said supernatant into a plurality of subsamples; and 
c) heating a subsample for a period of time."
" We, the present inventors have investigated the above-mentioned problems, and, as a result, have fount that, when a photonic crystal is formed of a photoelectric conversion substance and when a light-emitting dye is incorporated inside it, then a high-efficiency photoelectric conversion device can be obtained. Based on the findings, the present inventors have provided the following inventions: 
 (1) A photoelectric conversion device, which comprises a photonic crystal consisting essentially of a photoelectric conversion substance, and a light-emitting dye contained inside the photonic crystal, and in which the photonic crystal has a periodic structure that retards the light emission by the light-emitting dye. 
 (2) The photoelectric conversion device of (1), wherein the light-emitting dye has an absorption in the UV, visible and/or IR range and can emit light in the UV, visible and/or IR range. 
 (3) The photoelectric conversion device of (1), wherein the light-emitting dye is any one or more of ruthenium dyes, coumarin dyes and porphyrin dyes. 
 (4) The photoelectric conversion device of (1), wherein the light-emitting dye is a ruthenium dye. 
 (5) The photoelectric conversion device of any one of (1) to (4), wherein the photoelectric conversion substance is any one or more of titanium oxide, zinc oxide, strontium titanate, tin oxide, tungsten trioxide, dibismuth trioxide, ferric oxide and zirconia. 
 (6) The photoelectric conversion device of any one of (1) to (4), wherein the photoelectric conversion substance is titanium oxide. 
 (7) The photoelectric conversion device of (1), wherein the light-emitting dye is a ruthenium dye and the photoelectric conversion substance is titanium oxide. 
 (8) The photoelectric conversion device of (1), wherein the photonic crystal contains the following structure:  




 (9) The photoelectric conversion device of any one of (1) to (8), wherein the thickness of the photonic crystal layer is from 500 nm to 1 mm. 
 (10) The photoelectric conversion device of any one of (1) to (9), wherein the photonic crystal contains the light-emitting dye in an amount of from 5.0−9 to 2.0−5 mol per 1 cm2 of the surface of the photonic crystal. 
 (11) The photoelectric conversion device of any one of (1) to (10), wherein the photonic crystal has any of a cubic closest packing structure, a hexagonal closet packing structure, or a face-centered cubic structure. 
 (12) A photoelectric conversion device, which comprises an electrolyte, a first electrode and a second electrode kept in contact with the electrolyte, a photonic crystal layer consisting essentially of a photoelectric conversion substance and provided on one face or both faces of the first electrode, and a light-emitting dye contained inside the photonic crystal layer, and in which the photonic crystal has a periodic structure that retards the light emission by the light-emitting dye. 
 (13) The photoelectric conversion device of (12), wherein the electrolyte is one or more of amine-type, iodide ion-type and cobalt complexes. 
 (14) The photoelectric conversion device of (12) to (13), wherein the first electrode is an ITO glass electrode. 
 (15) The photoelectric conversion device of any one of (12) to (14), wherein the second electrode is formed of any of platinum, silver, copper, nickel or gold. 
 (16) The photoelectric conversion device of (12) or (13), wherein the first electrode is an ITO glass electrode and the second electrode is formed of platinum. 
 (17) A solar cell comprising the photoelectric conversion device of any one of (12) to (16).
","1. A photoelectric conversion device, which comprises a photonic crystal consisting essentially of a photoelectric conversion substance, and a light-emitting dye contained inside the photonic crystal, and in which the photonic crystal has a periodic structure that retards the light emission by the light-emitting dye."
" The present invention is directed to circuits, such as adders and comparators. The circuit (for fN or f′N) employs approximately 1.5N gates, but with significantly less depth than prior techniques. More particularly, the depth of the circuit is approximately logr N, where r={square root}{square root over (3)}=approximately 1.732. Hence, the depth of the circuit is approximately 1.26 log2 N, compared to approximately 1.44 log2 N achieved by the Gashkov et al. circuits or N-1 achieved in the circuit of FIG. 1. 
 A process is provided for implementing a logic circuit for performing logical operations based on a function 



 fN=x1 OR (x2 AND (x3 OR (x4 AND . . . xN. . . ))) 

 or 

 f′N=x1 AND (x2 OR (x3 AND (x4 OR . . . xN . . . ))), 

 where N is selected as the number of inputs to the logic circuit. 





 In a first embodiment, successive two-row portions of the logic circuit are recursively defined based on a pre-selected pattern of first and second gate types. A top portion has N inputs and ]N/3[ outputs, with inputs to each successive portion being connected to outputs of the prior portion and each portion having one-third the number of outputs. Upon reaching a number of variables less than 5, a bottom level of the circuit is selected based on the number of remaining inputs. The depth of the circuit is computed from the ternary value of N-1 containing D digits, such that the depth is 2D-1 where the first digit of the ternary value is “1” and the depth is 2D where the first digit of the ternary value is “2”. 
 In a second embodiment, smaller depth can be achieved in some cases by designing a circuit for N-1 inputs and transforming the seven most-significant input portion of the circuit to an eight-input portion. Combining this method with that of the first embodiment, the depth can be reduced by 1 in some cases, namely, where the ternary value of N is between 100000 . . . and 101010 . . . and between 200000 . . . and 201010 . . . The depth is the same as in the first embodiment for all other cases. 
 In a third embodiment for constructing an N-input circuit (actually, the same as for the first embodiment), the logic circuit is designed with N′ inputs, where N′≧N and equals 3n or 2*3 n. Odd-positioned inputs in the N′-N most significant inputs are set to a first binary value and even-positioned inputs in the N′-N most significant inputs are set to a second binary value. Unnecessary gates are then removed from the design. 
 Based on the function, the first gate type is set as either logical OR or logical AND gates and the second gate type is set as the other of either logical OR or AND gates. 
 In other embodiments, the process of the invention is carried out by a computer operating under control of a computer readable program on a computer useable medium for addressing data to design logic circuits for comparators, adders and similar operation.
","1. A process of implementing logic circuits for logical operations based on a function 
fN=x1 OR (x2 AND (x3 OR (x4 AND . . . xN . . . ))) 
or 
f′N=x1 AND (x2 OR (x3 AND (x4 OR . . . xN . . . ))), 
comprising steps of: 
a) selecting N as the number of inputs to the logic circuit; and 
b) implementing the logic circuit with two-input gates to a depth between 2n and 2n+2 based on a value of N between 3n and 3n+1, where n is an integer."
" In view of such circumstances, it is therefore a major object of the present invention to provide a disk array apparatus which can respond to these needs, and also to provide a method for controlling such a disk array apparatus. 
 In accordance with an aspect of the present invention, the above object is attained by providing a disk array apparatus which includes a controller and a plurality of disk drives. The controller has a communication control unit for accepting a data input/output request, a disk controller unit for controlling a disk drive, and a cache memory for temporarily storing data transferred between the communication control unit and the disk controller unit. The plurality of disk drives have different communication interfaces and are connected to the disk controller unit to communicate with the disk controller unit. 
 In this case, the disk controller unit has at least functions of controlling the operations of the plurality of disk drives having different communication interfaces and monitoring the states or modes of the disk drives, which will be explained later. The communication interface is, for example, FC-AL (Fibre Channel Arbitrated Loop) interface, serial ATA interface, SCSI1 (Small Computer System Interface 1) interface, SCSI2 (Small Computer System Interface 2) interface, SCSI3 (Small Computer System Interface 3) interface, or ATA (AT Attachment) interface. 
 In this way, in the case of the disk array apparatus of the present invention, various types of disk drives having different communication interfaces, access speeds and storage capacities, i.e., different Standards, prices, etc. can be combined with one disk controller unit, and thus an existing disk array apparatus can be effectively used while minimizing a modification in the arrangement of the disk array apparatus. 
 Other objects and advantages of the present invention will become clear as the following description of the invention advances as detailed with reference to preferred embodiments of the invention as shown in accompanying drawings. 
 In accordance with the present invention, there can be provided a disk array apparatus wherein various types of disk drives different in their communication interface, access speed, etc., i.e., Standard, price, etc. can be freely combined with one disk controller unit, and thus an existing disk array apparatus can be effectively used while minimizing a modification in the arrangement of the disk array apparatus, and also can be provided a method for controlling the disk array apparatus.
","1. A storage system, comprising: 
a controller controlling transfer of data to a plurality of storage regions; 
a data line, having a first type interface, coupled to said controller and relaying data from/to said controller; 
a plurality of first type disk drive units having a plurality of first disk drives which have some of said storage regions and each of first type disk drive units having a second type interface; 
a plurality of circuits, each circuit couples one of said first type disk drive units to said data line, said circuits controlling relay of data between said data line and said first type disk drive units, and controlling to separate one of said first type disk drive units and relay of data between said controller and said first type disk drive units without said one of said first type disk drive units if said one of said first type disk drive units has a failure; and 
a converter coupled to said data line and converting said first type interface and said second type interface."
" Accordingly, an embodiment of the invention provides a motion menu generation method, implemented by a motion menu generation system. First, menu foreground elements are provided, and at least one still image is retrieved as an input of the motion menu generation system. Next, an animated image and animated image presentation data for presenting the animated image are generated from the still image. A motion menu conforming to a media format is generated. The motion menu comprises the menu foreground elements and a background for displaying the animated image according to the animated image presentation data. A stand-alone device dedicated to playing media can play the motion menu according to the media format. 
 Additionally, the motion menu generation method of the invention can be implemented with a computer application recorded in a storage medium such as a memory or a memory device. The computer application, when loaded into a computer, directs the computer to execute the motion menu generation method of an embodiment of the invention. 
 Additionally, an embodiment of the invention provides a motion menu generation system comprising a foreground authoring module, a background authoring module, and a menu generation module. The foreground authoring module provides menu foreground elements. The background authoring module retrieves at least one still image, generates an animated image from the still image, and generates animated image presentation data for presenting the animated image. The menu generation module generates a motion menu comprising the menu foreground elements and a background for displaying the animated image according to the animated image presentation data. The motion menu conforming to a media format by which a stand-alone device dedicated to playing media can play the motion menu. 
","1. A motion menu generation method, implemented in a motion menu generation system, comprising the steps of: 
providing menu foreground elements; 
retrieving at least one still image as an input of the motion menu generation system; 
generating an animated image from the still image and animated image presentation data for presenting the animated image; and 
generating a motion menu comprising the menu foreground elements and a background for displaying the animated image according to the animated image presentation data, wherein the motion menu conforming to a media format."
" The present invention provides for percutaneous implantation of orthopaedic assemblies thereby eliminating the need to utilize relatively elongated incisions. The concepts of the present invention are particularly useful in regard to the implantation and installation of bone plates to the long bones of the human skeletal system such as the femur. In practice, the concepts of the present invention allow for implantation of a hip screw and bone plate through a relatively small incision (e.g., 2-3 centimeters). Once implanted, the hip screw and bone plate may be aligned and engaged with one another by use of the apparatus and techniques described herein. By utilizing such a small incision relative to heretofore utilized techniques (e.g., “open” incisions), the concepts of the present invention reduce the number of occurrences of postoperative complications such as infection, refracture, or prolonged healing rates. 
 In accordance with one illustrative embodiment of the present invention, there is provided a method of percutaneously implanting a first component and a second component of an orthopaedic assembly into a body of a patient. The method includes the steps of securing a first instrument to the first component, and advancing the first component into the body of the patient. The first instrument is advanced into the body of the patient such that a portion of the first instrument extends out of the body. A second instrument is secured to the second component, and the second component is advanced into the body of the patient. The second instrument is advanced into the body of the patient such that a portion of the second instrument extends out of the body. A third instrument is advanced into contact with both the first instrument and the second instrument so as to position the first component and the second component in a predetermined position relative to one another. 
 In accordance with another illustrative embodiment of the present invention, there is provided an instrument assembly for percutaneously implanting an orthopaedic assembly. The instrument assembly includes a first instrument which is adapted to be secured to a first orthopaedic component. The first instrument has a first alignment feature. The instrument assembly also includes a second instrument which is adapted to be secured to a second orthopaedic component. The second instrument has a second alignment feature. The instrument assembly further includes a third instrument having a third alignment feature which is adapted to cooperate with the first alignment feature and the second alignment feature so as to position the first instrument and the second instrument in a predetermined position relative to one another. 
 In accordance with another illustrative embodiment of the present invention, there is provided a method of percutaneously securing a bone plate to a bone within a body of a patient. The method includes the step of securing a screw locating instrument to a bone screw. The bone screw is screwed into the bone of the patient. The screw locating instrument is advanced into the body of the patient such that a portion of the screw locating instrument extends out of the body. In addition, a plate locating instrument is secured to the bone plate, and the bone plate is advanced into the body of the patient. The plate locating instrument is advanced into the body of the patient such that a portion of the plate locating instrument extends out of the body. An alignment instrument is advanced into contact with both the screw locating instrument and the plate locating instrument so as to position the bone screw and the bone plate in a predetermined position relative to one another. 
 In a specific exemplary embodiment for use in a hip repair procedure, there is provided an instrument assembly for percutaneously implanting a hip screw and a bone plate. The instrument assembly includes a screw locating instrument which is adapted to be secured to the hip screw. The screw locating instrument has a first alignment feature. The instrument assembly also includes a plate locating instrument which is adapted to be secured to the bone plate. The plate locating instrument has a second alignment feature. An alignment instrument has a third alignment feature which is adapted to cooperate with the first alignment feature and the second alignment feature so as to position the screw locating instrument and the plate locating instrument in a predetermined position relative to one another thereby positioning the hip screw and the bone plate relative to one another.
","1. A method of percutaneously implanting a first component and a second component of an orthopaedic assembly into a body of a patient, comprising the steps of: 
securing a first instrument to said first component; 
advancing said first component into said body; 
advancing said first instrument into said body such that a portion of said first instrument extends out of said body; 
securing a second instrument to said second component; 
advancing said second component into said body; 
advancing said second instrument into said body such that a portion of said second instrument extends out of said body; and 
advancing a third instrument into contact with both said first instrument and said second instrument so as to position said first component and said second component in a predetermined position relative to one another."
" It is a first object of the present invention to provide an instantaneous on-line acoustic apparatus capable of recording contents of conversation and music, and sharing the music or content of recorded music with against party during communication. 
 It is a second object of the present invention to provide an instantaneous on-line acoustic apparatus mentioned above which can be purchased with a cheap price, yet the recording time can be prolonged and handled and operative easily by ordinary user. 
 It is a third object of the present invention to provide an instantaneous on-line acoustic apparatus described above which is easy for carrying and assembling by simplified construction. 
 It is a forth object of the present invention to provide an instantaneous on-line acoustic apparatus described above capable of mingling the music or surrounding noise, either presently exiting, or pre-recorded, in the phone lime so as to purposedly camouflage the user's real location at the very moment he/she is communicating with the against party over telephone. 
 To achieve these and other objects described above, the apparatus of the present invention comprises: 



 a control box which further including one or more than one earphone contactor or standard earphone jack, a stereo sound output press button lock witch, a microphone, a multi-sounds volume switch, and a mobile phone press button switch; 
 a standard female receptacle for dual sound output further including a female receptacle for mobile phone recorder, and a standard female receptacle for stereo sound recording and music sharing; 
 a mobile phone male plug; 
 a standard stero sound male plug; wherein 
 one end of the control box is connected with the standard female receptacle for dual sound output which further extends the mobile phone male plug and the standard stereo sound male plug.




","1 An instantaneous on-line acoustic apparatus capable of sharing enjoying and recording music comprising: 
a control box including one or more than one earphone contactor or standard earphone jack, a press button lock switch for stereo sound output, a microphone, a multi-sound volume switch, and a mobile phone press button switch, and one end of said control box being connected with a standard female receptacle for dual sound output; and 
said standard female receptacle for dual sound output being provided with a female receptacle for mobile phone recorder and a female receptacle for stereo sound recording and music sharing, wherein a mobile phone male plug and a standard stereo sound male plug are mated with said standard female receptacle for dual sound output."
" The present invention has been made in consideration of the above situation, and provides a moving picture data recording/reproduction apparatus for moving picture data on a random-accessible storage medium and moving picture data with a related file group. Upon frame level actual editing, editing by GOP is performed by only updating a file system without changing moving picture data itself. Upon reproduction, the moving data is reproduced in accordance with play list information by frame within a range designated by a user. Further, as moving picture data related files, a moving picture management file, a thumbnail file, a meta data file, a time map information file and the like, are also updated. In this arrangement, frame level actual editing can be performed by merely updating the file system and generating a play list without re-encoding. 
 To solve the above problem, the video/audio signal editing apparatus of the present invention is a moving picture editing apparatus for processing plural moving picture files respectively including coded moving picture data and play list data indicating a procedure of reproduction of the plural moving picture files recorded on a recording medium, comprising: designation means for designating deletion start position and deletion end position of the moving picture data so as to request deletion of a part of the moving picture data, wherein the designation means being capable of designating the deletion start position and the deletion end position in smaller units than predetermined units related to coding processing on the moving picture data; deletion processing means for, in correspondence with a deletion request from the designation means, deleting the moving picture data from the recording medium in the predetermined units related to the coding processing on the moving picture data; and play list processing means for, in correspondence with the deletion request from the designation means, changing contents of the play list data so as to reproduce the moving picture data to the deletion start position and continuously from the deletion end position. 
 More particularly, provided is a moving picture editing apparatus for editing moving picture data in MPEG-2 program stream format stored on a random-accessible storage medium, comprising: detection means for detecting an editing designation input to designate a deletion start position and a deletion end position in the moving picture data; deletion means for, if the detection means has detected the editing designation input, deleting data from a GOP immediately after a GOP including the deletion start position to a GOP immediately before a GOP including the deletion end position by updating file management information of the storage medium; and play list generation means for, if the detection means has detected the editing designation input, generating a play list, excluding frames from the deletion start position in the GOP including the deletion start portion and frames before the deletion end position in the GOP including the deletion end position, on the storage medium. 
 Other features and advantages of the present invention will be apparent from the following description taken in conjunction with the accompanying drawings, in which like reference characters designate the same name or similar parts throughout the figures thereof.
","1. A moving picture editing apparatus for processing plural moving picture files respectively including coded moving picture data and play list data indicating a procedure of reproduction of said plural moving picture files recorded on a recording medium, comprising: 
designation means for designating deletion start position and deletion end position of said moving picture data so as to request deletion of a part of said moving picture data, wherein said designation means being capable of designating said deletion start position and said deletion end position in smaller units than predetermined units related to coding processing on said moving picture data; 
deletion processing means for, in correspondence with a deletion request from said designation means, deleting said moving picture data from said recording medium in the predetermined units related to the coding processing on said moving picture data; and 
play list processing means for, in correspondence with the deletion request from said designation means, changing contents of said play list data so as to reproduce said moving picture data to said deletion start position and continuously from said deletion end position."
" One embodiment of the present invention enables one or more users to receive and consume media or other content from a network using any one of a wide range of clients or client devices, including but not limited to, desktop or laptop computers, personal digital assistants, cellular telephones, communicators, interactive television set-top boxes, digital watches, pagers and any other suitable device capable of accessing and displaying content such as natural media content. These devices are referred to herein as clients, client devices or network access devices. The system and method of the present invention eliminate the need to purchase, download and install multiple viewers, and permanently store them on the client devices, and to constantly purchase and install viewer upgrades. The content delivery and viewing system and method of the present invention also enables content providers to securely distribute content files. It should also be appreciated that while the present invention is primarily described below regarding a user viewing content such as audio-video through a client device, it should be appreciated that the present invention enables a user to simultaneously view a plurality of different content through the same client device. 
 In general, the method of delivering and viewing content of the present invention includes a web server or a web portal receiving a request from a client device to access content, determining the client device environment, preferably including the client hardware and software, selecting a content viewer compatible with the client environment specifically including the client's determined hardware and software, and downloading the selected appropriate content viewer to the client. One preferred embodiment of the system of the present invention includes a client environment finder for determining the client's environment, a viewer selector for selecting a content viewer compatible with the user's client environment, and a viewer downloader for downloading the selected content viewer to the client. In one preferred embodiment, a Java program called an applet performs these functions. It should be appreciated that more than one programs can alternatively perform these functions. The applet is streamed to the client when the client device requests content, and runs in conjunction with the client's browser. The downloaded applet determines the user's client environment, selects the appropriate content viewer compatible with the user's client environment from a plurality of possible content viewers, and delivers the selected content viewer to the client. In an alternative embodiment, the determination of the user's client environment and the selection of the appropriate content viewer are performed by a web server or web portal in conjunction with the applet. 
 In one preferred embodiment, the applet streams the selected viewer to the client device, and instructs the device to execute the viewer. Upon completion of the viewer, the applet deletes the viewer from the client device, cleans any allocated client device resources used by the viewer, thus making the viewer transparent to the user. In another aspect of the present invention, user authentication is required before the streaming of the viewer and/or consumption of the media. In a further aspect of the present invention, the content is encrypted so only one user or client device may view the specific delivered media or other content. Because the viewer is also deleted from the client device after termination, a content provider can more securely distribute media and other content. 
 According to some embodiments of the present invention, methods and systems are provided for provisioning a network-connected device with a platform-specific native mode client application to access information, thus reducing or eliminating the need for specialized manual installation and specialized IT support personnel. 
 According to some embodiments of the present invention, user devices are automatically provisioned with viewer applications designed for viewing multimedia network services within a device environment. 
 According to some embodiments of the present invention, a media server system is adapted to respond to a media request by providing an agent to a requesting device, with the agent adapted to detect a runtime environment on the requesting device and to acquire an application adapted to execute in the runtime environment of the requesting device. 
 Additional features and advantages of the present invention are described in, and will be apparent from, the following Detailed Description of the Invention and the figures.
","1. A method for delivering a binary application to a device comprising: 
receiving a request for content from the device; 
delivering an agent program to said device, said agent program adapted to execute in a runtime environment on said device; 
receiving information from said agent program regarding a platform of said device; and 
delivering a platform specific application to said device, said application being adapted to display said content to a user and to execute on said platform of said device."
" A main object of the present invention is to provide a tying knot apparatus, which is adapted for holding a tying thread in a tension manner so as to allow the user to easily and quickly tighten a final knot of the tying thread on an object without breaking the tying thread. 
 Another object of the present invention is to provide a tying knot apparatus, which comprises a resilient element for applying an urging force against the tying thread in a tension manner between a thread holder and an engaging arm such that when the tying thread is pulled to form a knot on an object, the resilient arm is arranged to bend towards the thread holder to keep the tying thread in a tension manner, so that the knot is firmly and securely tied on the object. 
 Another object of the present invention is to provide a tying knot apparatus, which enable the final knot, such as a whip finishing knot, to be made rapidly and precisely, wherein the tying thread does not become disengaged from the tying knot apparatus until the final knot is completed. 
 Another object of the present invention is to provide a tying knot apparatus, wherein the thread holder has an arc shaped holding groove not only for retaining the tying thread in position but also for ensuring the release of the tying thread at the bottom end of the thread holder while forming the knot. 
 Another object of the present invention is to provide a tying knot apparatus, wherein the tying operation of the knot of using the tying knot apparatus is easy and simply that by turning the engaging arm around the object to intertwine the tying thread therearound and releasing the tying thread on the thread holder to form the knot. 
 Another object of the present invention is to provide a tying knot apparatus, wherein no expensive or complicated structure is required to employ in the present invention in order to achieve the above mentioned objects. Therefore, the present invention successfully provides an economic and efficient solution for tying a firm and proper knot on the object. 
 Accordingly, in order to accomplish the above objects, the present invention provides a tying knot apparatus, comprising: 



 a thread holding frame having a longitudinal axis and comprising: 
 an engaging arm having a catch end positioning aligned with the longitudinal axis for slidably engaging a tying thread in position; 
 a thread holder, which is extended from the engaging arm, having a rounded bottom end axially extended from the longitudinal axis and an arc-shaped holding groove communicating with the rounded bottom end wherein the holding groove is adapted for slidably holding the tying thread to form a loop thereof while the tying thread is capable of being released at the rounded bottom end of the thread holder; and 
 a resilient element provided between the thread holder and the engaging arm such that the engaging arm is capable of bending towards the thread holder to reduce a distance between the catch end of the engaging arm and the holding groove of the thread holder for providing a tension force on the loop of the tying thread. 




 These and other objectives, features, and advantages of the present invention will become apparent from the following detailed description, the accompanying drawings, and the appended claims. 
","1. A knot tying apparatus, comprising: 
a thread holding frame having a longitudinal axis and comprising: 
an engaging arm having a catch end positioning aligned with said longitudinal axis for slidably engaging a tying thread in position; 
a thread holder, which is extended from said engaging arm, having a rounded bottom end axially extended from said longitudinal axis and an arc-shaped holding groove communicating with said rounded bottom end wherein said holding groove is adapted for slidably holding said tying thread to form a loop thereof while said tying thread is capable of being released at said rounded bottom end of said thread holder; and 
a resilient element integrally extended from said engaging arm to said thread holder so as to form a one-piece integral member of said thread holding frame such that said engaging arm is capable of bending towards said thread holder to reduce a distance between said catch end of said engaging arm and said holding groove of said thread holder for providing a tension force on said loop of said tying thread."
